Rank                                           Won  Lost  Tied    PF    PA   Rating
   1 North Carolina                              4     0     0   124    41   73.638
   2 Michigan                                    9     0     0   252    44   72.601
   3 Texas                                       4     0     0   101    44   71.825
   4 Mississippi                                 8     1     0   226    93   69.447
   5 Oklahoma                                    5     0     0   217    34   69.232
   6 Notre Dame                                  5     0     0   180    45   68.956
   7 Tulane                                      7     1     0   165    53   68.944
   8 Georgia                                     9     2     0   306   141   68.422
   9 Northwestern                                3     1     0    59    65   68.124
  10 Clemson                                    11     0     0   274    76   66.596
  11 Georgia Tech                                7     3     0   226    69   65.807
  12 St. Josephs(IN)                             1     0     0    33     0   65.737
  13 Colgate                                     1     0     0    25     0   65.446
  14 Army                                        8     0     1   294    89   65.239
  15 Columbia                                    1     0     0    13     0   65.099
  16 Vanderbilt                                  6     2     1   265    67   65.032
  17 Minnesota                                   7     2     0   203    94   64.872
  18 William & Mary                              1     0     1    23    14   64.615
  19 California                                 10     1     0   291   100   64.570
  20 West Virginia                               1     0     0    16    14   64.031
  21 Boston College                              5     2     2   152   134   63.726
  22 St. Bonaventure                             0     0     1     7     7   63.723
  23 Tennessee                                   2     2     2    60    56   63.702
  24 Appalachian State                           1     0     0    47     0   63.594
  25 Mississippi State                           4     4     1   103    87   62.729
  26 Ohio State                                  3     2     0    82    41   62.637
  27 Alabama                                     6     4     1   228   170   62.505
  28 SMU                                         2     1     0    41    38   62.459
  29 Pittsburgh                                  1     0     0    21    14   62.407
  30 Western Carolina                            1     0     0    39     0   62.362
  31 Baylor                                      6     3     2   167   125   62.232
  32 Michigan State                              6     2     2   359   130   61.666
  33 Penn State                                  0     0     1    14    14   61.662
  34 Missouri                                    8     3     0   331   161   61.303
  35 Kentucky                                    5     3     2   199   128   60.919
  36 LSU                                         3     7     0    99   271   60.800
  37 Santa Clara                                 2     1     1    99    69   60.773
  38 Rice                                        1     1     1    45    39   60.692
  39 Dayton                                      2     0     0    40     0   60.434
  40 Pennsylvania                                1     1     0    40    40   60.083
  41 Duke                                        4     3     2   144    92   59.986
  42 North Carolina State                        0     1     1     0     6   59.874
  43 Villanova                                   2     2     1    72    78   59.762
  44 Wake Forest                                 1     3     0    57    87   58.922
  45 Eastern Illinois                            1     0     0    12     0   58.835
  46 Austin(TX)                                  1     0     0    14     0   58.815
  47 Holy Cross                                  0     1     0    20    21   58.714
  48 Maryland                                    6     4     0   207   132   58.631
  49 Cornell                                     1     1     0    19    34   58.621
  50 Purdue                                      2     3     0    72    97   58.568
  51 Illinois                                    3     6     0   135   140   58.382
  52 Arkansas                                    5     5     0   227   136   57.839
  53 Pacific                                     1     0     0    55     0   57.836
  54 Florida                                     5     5     0   213   206   57.306
  55 Southern Cal                                0     1     0     7    13   57.107
  56 High Point(NC)                              1     0     0    30     7   57.100
  57 Lenoir-Rhyne(NC)                            1     0     0    26     6   56.777
  58 West Texas A&M                              1     0     0    28    13   56.690
  59 TCU                                         2     2     0    38    52   56.546
