Rnk Team                         WON LOST   PF   PA     RATE      SOS
--- ----                         --- ----  ---  ---  -------  -------
  1 , Minn.                       19    0  682  243   58.083   48.156 (2461)
  2 , MO                           6    0  200   24   57.948   44.601 (2471)
  3 -Baylor                        9    0  308  108   57.090   46.857 (2462)
  4 , Ky.                         16    0  680  230   55.686   45.546 (2467)
  5 's, IN                         2    0   81   38   55.547   45.861 (2465)
  6 .,Colo.                        6    0  255   64   54.935   43.695 (2473)
  7 .                            117    0 4210 1924   54.589   45.730 (2466)
  8 , Pa.                          5    0  151   54   54.478   43.898 (2472)
  9 , D.C.                         5    0  189  124   54.245   46.786 (2463)
 10 , Cal.                         6    0  260  166   54.103   46.658 (2464)
 11 &M                             5    0  160   65   54.003   45.193 (2469)
 12 , NY                           5    0  124   42   53.387   42.977 (2474)
 13 & Lee                          5    0  169   62   52.993   42.307 (2475)
 14 , Tenn.                        5    0  130   71   52.236   44.813 (2470)
 15 , Ohio                         7    0  220  159   52.019   45.237 (2468)
 16 .-North                        2    0   49   17   51.980   41.555 (2476)
 17 10   Bucknell                  0    0    0    0      nan      nan (2460)
 18 10   Ferrum                    0    0    0    0      nan      nan (2459)
 19 10   Fitchburg St.             0    0    0    0      nan      nan (2458)
 20 10   Frostburg St.             0    0    0    0      nan      nan (2457)
 21 10   Gannon                    0    0    0    0      nan      nan (2456)
 22 10   Lake Forest               0    0    0    0      nan      nan (2455)
 23 10   Lenoir-Rhyne              0    0    0    0      nan      nan (2454)
 24 10   Merchant Marine           0    0    0    0      nan      nan (2453)
 25 10   Montana                   0    0    0    0      nan      nan (2452)
 26 10   Rose-Hulman               0    0    0    0      nan      nan (2451)
 27 10   Tri-State IN              0    0    0    0      nan      nan (2450)
 28 10   Utah                      0    0    0    0      nan      nan (2449)
 29 10   Youngstown St.            0    0    0    0      nan      nan (2448)
 30 11   Albany, Ga.               0    0    0    0      nan      nan (2447)
 31 12   Assumption                0    0    0    0      nan      nan (2446)
 32 12   Bates                     0    0    0    0      nan      nan (2445)
 33 12   Columbia                  0    0    0    0      nan      nan (2444)
 34 12   Hamline                   0    0    0    0      nan      nan (2443)
 35 12   Ill. Benedictine          0    0    0    0      nan      nan (2442)
 36 12   Monmouth, N.J.            0    0    0    0      nan      nan (2441)
 37 12   N. Arizona                0    0    0    0      nan      nan (2440)
 38 12   Oberlin                   0    0    0    0      nan      nan (2439)
 39 12   Oklahoma St.              0    0    0    0      nan      nan (2438)
 40 12   Otterbein                 0    0    0    0      nan      nan (2437)
 41 12   Penn St.                  0    0    0    0      nan      nan (2436)
 42 12   Savannah St.              0    0    0    0      nan      nan (2435)
 43 12   Syracuse                  0    0    0    0      nan      nan (2434)
 44 12   Washington, MO            0    0    0    0      nan      nan (2433)
 45 12   Winston-Salem             0    0    0    0      nan      nan (2432)
 46 13   Albany, Ga.               0    0    0    0      nan      nan (2431)
 47 13   Ashland                   0    0    0    0      nan      nan (2430)
 48 13   Bethany,W.Va.             0    0    0    0      nan      nan (2429)
 49 13   Bowdoin                   0    0    0    0      nan      nan (2428)
 50 13   Carson-Newman             0    0    0    0      nan      nan (2427)
