Rank,Team,Won,Lost,Tied,PF,PA,Rating
1,OREGON,10,0,0,357,160,131.612
2,OHIO ST.,8,1,0,347,96,130.965
3,INDIANA,10,0,0,439,138,129.496
4,PENN ST.,8,1,0,281,126,128.623
5,ALABAMA,7,2,0,343,162,128.189
6,BYU,9,0,0,303,178,127.813
7,TEXAS,8,1,0,350,109,127.706
8,NOTRE DAME,8,1,0,345,100,127.348
9,OLE MISS,8,2,0,407,129,127.138
10,GEORGIA,7,2,0,275,166,126.803
11,SMU,8,1,0,361,196,126.801
12,TENNESSEE,8,1,0,338,113,126.369
13,MIAMI (FL),9,1,0,450,231,125.985
14,SOUTH CAROLINA,6,3,0,272,158,125.743
15,TEXAS A&M,7,2,0,278,191,125.419
16,BOISE ST.,8,1,0,394,226,125.358
17,LOUISVILLE,6,3,0,326,218,125.021
18,LSU,6,3,0,275,224,124.966
19,KANSAS ST.,7,2,0,281,195,124.546
20,COLORADO,7,2,0,292,203,124.444
21,CLEMSON,7,2,0,339,208,124.106
22,IOWA ST.,7,2,0,280,169,123.959
23,MISSOURI,7,2,0,252,166,123.635
24,PITTSBURGH,7,2,0,330,226,123.577
25,IOWA,6,4,0,294,182,123.047
26,ILLINOIS,6,3,0,233,190,122.921
27,ARMY WEST POINT,9,0,0,317,93,122.773
28,NEBRASKA,5,4,0,212,172,122.528
29,UCLA,4,5,0,169,240,122.428
30,WASHINGTON ST.,8,1,0,354,243,122.393
31,MINNESOTA,6,4,0,267,177,122.186
32,VANDERBILT,6,4,0,280,217,122.094
33,MICHIGAN,5,5,0,204,230,122.045
34,TULANE,8,2,0,410,187,122.035
35,GEORGIA TECH,6,4,0,277,225,121.986
36,SOUTHERN CALIFORNIA,4,5,0,275,200,121.834
37,DUKE,7,3,0,268,221,121.795
38,VIRGINIA TECH,5,5,0,291,225,121.776
39,ARIZONA ST.,7,2,0,284,214,121.685
40,CINCINNATI,5,4,0,257,200,121.559
41,FLORIDA,4,5,0,253,248,121.529
42,UNLV,7,2,0,358,214,121.507
43,WEST VIRGINIA,5,4,0,261,251,121.485
44,WISCONSIN,5,4,0,226,193,121.477
45,OKLAHOMA,5,5,0,251,219,121.359
46,WASHINGTON,5,5,0,218,206,121.279
47,TEXAS TECH,6,4,0,355,351,121.164
48,BAYLOR,5,4,0,302,241,121.144
49,LOUISIANA,8,1,0,317,196,121.026
50,SYRACUSE,6,3,0,285,257,121.025
51,BOSTON COLLEGE,5,4,0,248,207,120.969
52,NORTH CAROLINA,5,4,0,306,238,120.776
53,VIRGINIA,5,4,0,234,240,120.774
54,TCU,6,4,0,332,276,120.719
55,ARKANSAS,5,4,0,297,237,120.713
56,MICHIGAN ST.,4,5,0,178,217,120.692
57,MARYLAND,4,5,0,247,261,120.553
58,RUTGERS,5,4,0,232,217,120.316
59,UCF,4,6,0,330,264,120.056
60,GA. SOUTHERN,6,3,0,263,274,119.913
61,JAMES MADISON,7,2,0,318,148,119.912
62,NORTH DAKOTA ST.,9,1,0,378,157,119.644
63,KANSAS,3,6,0,285,233,119.620
64,MARSHALL,6,3,0,275,210,119.454
65,WESTERN KY.,7,2,0,273,199,119.302
66,KENTUCKY,3,6,0,171,187,119.175
67,CALIFORNIA,5,4,0,258,174,119.174
68,HOUSTON,4,5,0,137,198,119.086
69,NAVY,7,2,0,321,200,118.761
70,NORTHWESTERN,4,5,0,173,197,118.351
71,UTAH,4,5,0,203,154,118.158
72,MEMPHIS,8,2,0,335,231,118.086
73,MONTANA ST.,10,0,0,424,165,117.707
74,WAKE FOREST,4,5,0,253,294,117.692
75,OKLAHOMA ST.,3,7,0,278,319,117.658
76,NC STATE,5,5,0,286,306,117.656
77,SOUTH DAKOTA ST.,8,2,0,353,130,117.434
78,UCONN,7,3,0,317,213,117.362
79,AUBURN,3,6,0,228,173,117.294
80,SAM HOUSTON,7,2,0,224,184,117.248
81,OLD DOMINION,4,5,0,229,227,117.131
82,TEXAS ST.,5,4,0,298,198,117.085
83,ARIZONA,3,6,0,199,280,116.822
84,TOLEDO,6,3,0,262,201,116.820
85,MIAMI (OH),5,4,0,209,180,116.358
86,OHIO,6,3,0,241,186,116.135
87,COASTAL CAROLINA,5,4,0,285,283,116.126
88,COLORADO ST.,6,3,0,212,217,116.064
89,BOWLING GREEN,5,4,0,240,189,116.040
90,NORTH TEXAS,5,4,0,329,309,115.915
91,NIU,5,4,0,229,169,115.835
92,APP STATE,4,5,0,239,313,115.727
93,FLORIDA ST.,1,9,0,133,298,115.721
94,SOUTH DAKOTA,7,2,0,336,100,115.589
95,SOUTH ALABAMA,4,5,0,320,223,115.538
96,ULM,5,4,0,194,232,115.480
97,MISSISSIPPI ST.,2,8,0,276,344,115.436
98,SAN JOSE ST.,6,3,0,259,217,115.204
99,STANFORD,2,7,0,184,311,115.124
100,UC DAVIS,9,1,0,353,209,114.719
101,OREGON ST.,4,5,0,232,259,114.690
102,BUFFALO,5,4,0,218,261,114.609
103,ARKANSAS ST.,5,4,0,211,306,114.530
104,WESTERN MICH.,5,4,0,300,312,114.515
105,EAST CAROLINA,5,4,0,292,241,114.503
106,FRESNO ST.,5,5,0,278,253,114.440
107,JACKSONVILLE ST.,6,3,0,353,263,114.427
108,CHARLOTTE,3,6,0,192,308,114.221
109,HAWAII,4,6,0,220,227,114.004
110,SOUTH FLA.,4,5,0,227,259,113.884
111,GEORGIA ST.,2,7,0,187,287,113.821
112,RICE,3,7,0,217,237,113.651
113,IDAHO,7,3,0,266,244,113.532
114,NEVADA,3,8,0,267,314,113.140
115,VILLANOVA,8,2,0,224,163,112.863
116,LIBERTY,6,2,0,247,181,112.803
117,DELAWARE,8,1,0,315,171,112.606
118,MERCER,9,1,0,348,166,112.604
119,MISSOURI ST.,8,2,0,388,258,112.497
120,CARNEGIE MELLON,8,1,0,424,88,112.401
121,RHODE ISLAND,8,2,0,254,235,112.315
122,EASTERN MICH.,5,4,0,263,237,112.222
123,WASH. & JEFF.,8,1,0,402,141,112.162
124,PURDUE,1,8,0,162,340,112.095
125,UTSA,4,5,0,264,293,112.003
126,BALL ST.,3,6,0,222,350,111.957
127,TARLETON ST.,8,2,0,286,225,111.903
128,UIW,8,2,0,379,227,111.842
129,GROVE CITY,8,1,0,393,100,111.835
130,HARVARD,7,1,0,266,154,111.811
131,STONY BROOK,8,2,0,279,211,111.675
132,RICHMOND,8,2,0,286,189,111.580
133,TEMPLE,2,7,0,173,335,111.491
134,TROY,2,7,0,202,250,111.486
135,NEW MEXICO,4,6,0,334,383,111.449
136,HARDING,9,1,0,518,68,111.160
137,ILLINOIS ST.,7,3,0,262,248,111.050
138,BETHEL (TN),1,0,0,20,10,111.014
139,UAB,2,7,0,229,315,110.984
