Rank|Team|W|L|T|PF|PA|Power|SoS
1|BROWN|1|0|0|46|0|432.956|109.283
2|INDIANA|4|0|0|219|33|151.749|128.908
3|FLORIDA ST.|3|0|0|174|30|148.322|117.706
4|MIAMI (FL)|4|0|0|147|46|144.830|130.036
5|MISSOURI|4|0|0|184|67|143.907|122.257
6|OKLAHOMA|4|0|0|125|36|143.050|127.232
7|VANDERBILT|4|0|0|190|51|142.782|123.950
8|LSU|4|0|0|116|37|141.765|129.757
9|GEORGIA|3|0|0|117|54|141.045|126.380
10|OHIO ST.|3|0|0|121|16|140.969|121.171
11|ILLINOIS|3|1|0|145|85|140.842|127.242
12|OLE MISS|4|0|0|179|75|140.571|130.639
13|OLD DOMINION|2|1|0|113|59|140.029|130.876
14|ALABAMA|2|1|0|128|45|140.012|132.858
15|TEXAS A&M|3|0|0|127|86|138.926|129.919
16|BYU|3|0|0|130|16|138.774|120.459
17|HOUSTON|3|0|0|98|29|138.750|124.854
18|MISSISSIPPI ST.|4|0|0|159|47|138.553|121.111
19|KANSAS|3|1|0|149|66|138.362|124.725
20|NORTH TEXAS|4|0|0|188|78|137.962|128.626
21|SOUTHERN CALIFORNIA|4|0|0|210|81|137.755|126.848
22|TEXAS TECH|4|0|0|208|45|137.665|114.072
23|TENNESSEE|3|1|0|214|111|137.001|129.849
24|NOTRE DAME|1|2|0|120|98|136.631|137.881
25|MEMPHIS|4|0|0|143|64|136.479|126.196
26|LOUISIANA TECH|3|1|0|110|57|136.444|130.543
27|GEORGIA TECH|4|0|0|155|77|136.402|126.597
28|SOUTH FLA.|3|1|0|127|86|136.283|130.679
29|MICHIGAN|3|1|0|140|71|136.272|129.326
30|WASHINGTON|3|0|0|167|55|136.150|123.338
31|SOUTH CAROLINA|2|2|0|89|81|136.141|134.452
32|ARIZONA|3|0|0|111|26|135.805|119.280
33|AUBURN|3|1|0|128|66|135.327|127.917
34|PENN ST.|3|0|0|132|17|135.173|113.871
35|OREGON|4|0|0|203|37|135.107|121.279
36|TARLETON ST.|5|0|0|239|64|135.021|113.138
37|TENNESSEE TECH|3|0|0|182|31|134.468|-150.044
38|TCU|3|0|0|125|59|134.355|125.498
39|ARIZONA ST.|3|1|0|119|82|133.850|128.637
40|NAVY|3|0|0|132|54|133.668|119.281
41|IOWA ST.|4|0|0|119|57|133.407|124.478
42|TULANE|3|1|0|100|106|133.210|128.859
43|NEBRASKA|3|1|0|174|54|133.178|122.454
44|UCF|3|0|0|119|26|132.805|115.649
45|TEXAS|3|1|0|127|31|132.746|123.047
46|NC STATE|3|1|0|126|117|132.594|129.766
47|ARKANSAS|2|2|0|174|94|132.505|126.507
48|DUKE|2|2|0|136|129|132.490|130.986
49|FLORIDA|1|3|0|88|64|132.309|134.310
50|COLORADO|2|2|0|108|90|132.282|131.087
51|MARYLAND|4|0|0|130|43|132.276|120.420
52|KENTUCKY|2|1|0|95|69|132.151|126.834
53|ARMY WEST POINT|1|2|0|89|96|131.590|133.453
54|SYRACUSE|3|1|0|153|110|131.575|123.339
55|MICHIGAN ST.|3|1|0|137|115|131.241|126.097
56|LOUISVILLE|3|0|0|119|48|131.092|119.827
57|VIRGINIA TECH|1|3|0|95|119|130.694|132.876
58|NEW MEXICO ST.|2|1|0|54|66|130.581|125.264
59|UTAH|3|1|0|147|59|130.365|122.457
60|IOWA|3|1|0|132|58|130.184|115.824
61|WASHINGTON ST.|2|2|0|83|141|130.148|130.461
62|PURDUE|2|2|0|112|106|129.888|128.404
63|BAYLOR|2|2|0|138|117|129.679|124.944
64|VIRGINIA|3|1|0|182|78|129.594|122.334
65|CLEMSON|1|3|0|79|91|129.389|133.235
66|EAST CAROLINA|2|2|0|124|61|129.336|126.839
67|FRESNO ST.|4|1|0|164|100|129.309|121.849
68|CINCINNATI|2|1|0|121|40|129.250|120.919
69|SOUTHERN MISS.|2|2|0|113|106|128.939|128.466
70|UTAH ST.|3|1|0|147|97|128.568|120.113
71|SAN DIEGO ST.|2|1|0|89|36|128.404|120.728
72|TULSA|2|2|0|91|82|128.024|127.387
73|RUTGERS|3|1|0|167|96|127.976|120.461
74|WESTERN MICH.|1|3|0|50|107|127.759|133.824
75|TEXAS ST.|3|1|0|145|100|127.695|122.407
76|WAKE FOREST|2|1|0|76|53|127.644|122.709
77|KANSAS ST.|1|3|0|97|106|127.376|130.408
78|WEST GA.|4|0|0|136|56|127.151|114.277
79|SMU|2|2|0|139|106|126.961|121.506
80|OHIO|2|2|0|109|116|126.667|127.982
81|TEMPLE|2|2|0|124|104|126.354|124.238
82|DELAWARE|3|1|0|124|105|126.324|120.360
83|WISCONSIN|2|2|0|83|75|126.122|125.382
84|SOUTH DAKOTA ST.|3|0|0|87|48|126.046|116.347
85|MONTANA|3|0|0|129|60|125.760|115.880
86|TOLEDO|2|2|0|134|59|125.250|122.621
87|BOISE ST.|2|1|0|107|85|125.151|120.216
88|CALIFORNIA|3|1|0|96|66|125.132|119.782
89|LAMAR UNIVERSITY|2|1|0|51|71|125.008|122.443
90|ABILENE CHRISTIAN|2|2|0|101|128|124.910|126.267
91|GEORGIA ST.|1|3|0|81|192|124.689|133.122
92|NORTH CAROLINA|2|2|0|84|91|124.621|124.169
93|WEST VIRGINIA|2|2|0|96|85|124.619|120.809
94|UTSA|2|2|0|125|121|124.559|124.463
95|PRESBYTERIAN|4|0|0|172|65|124.484|-73.390
96|HAWAII|3|2|0|110|106|124.478|121.846
97|CHATTANOOGA|1|3|0|114|142|124.391|97.205
98|YALE|1|0|0|28|10|124.321|113.746
99|ULM|2|1|0|60|98|124.131|117.429
100|UAB|2|2|0|131|164|123.821|125.752
101|DARTMOUTH|1|0|0|27|20|123.802|117.047
